Year,Alopias_pelagicus,Alopias_superciliosus,Alopias_vulpinus,Carcharodon_carcharias,Carcharhinus_falciformis,Carcharhinus_longimanus,Carcharhinus_obscurus,Isurus_oxyrinchus,Isurus_paucus,Lamna_nasus,Mobula_alfredi,Mobula_birostris,Mobula_kuhlii,Prionace_glauca,Pteroplatytrygon_violacea,Sphyrna_lewini,Sphyrna_mokarran,Sphyrna_zygaena
1999,0.59 (0.11;1.98),0.37 (0.07;1.24),0.36 (0.1;0.96),0.4 (0.26;0.58),0.65 (0.42;0.89),0.76 (0.54;1.1),0.47 (0.39;0.57),0.82 (0.72;0.92),0.72 (0.4;1.22),0.82 (0.74;0.91),NA,NA,NA,0.65 (0.59;0.7),NA,0.1 (0.05;0.19),0.51 (0.26;0.9),0.66 (0.31;1.21)
2000,0.59 (0.11;2),0.36 (0.07;1.19),0.41 (0.12;1.05),0.42 (0.27;0.6),0.61 (0.4;0.84),0.68 (0.47;0.96),0.45 (0.37;0.54),0.8 (0.7;0.9),0.9 (0.49;1.52),0.83 (0.75;0.91),NA,NA,NA,0.65 (0.59;0.71),NA,0.1 (0.05;0.19),0.55 (0.27;0.99),0.62 (0.3;1.13)
2001,0.59 (0.11;2.02),0.34 (0.06;1.14),0.44 (0.13;1.12),0.46 (0.3;0.66),0.58 (0.37;0.8),0.61 (0.42;0.87),0.43 (0.35;0.51),0.78 (0.68;0.89),0.82 (0.44;1.41),0.84 (0.75;0.92),NA,NA,NA,0.65 (0.59;0.71),NA,0.11 (0.06;0.2),0.5 (0.25;0.89),0.61 (0.3;1.12)
2002,0.58 (0.11;1.98),0.34 (0.06;1.13),0.43 (0.12;1.14),0.5 (0.33;0.72),0.53 (0.33;0.74),0.55 (0.37;0.79),0.41 (0.33;0.49),0.77 (0.66;0.87),1.02 (0.56;1.72),0.85 (0.76;0.93),NA,NA,NA,0.65 (0.6;0.71),NA,0.12 (0.06;0.21),0.42 (0.21;0.75),0.74 (0.36;1.35)
2003,0.57 (0.1;1.92),0.33 (0.06;1.11),0.44 (0.12;1.18),0.55 (0.37;0.79),0.51 (0.32;0.72),0.5 (0.34;0.74),0.39 (0.31;0.47),0.76 (0.66;0.86),1.29 (0.7;2.19),0.86 (0.77;0.95),1 (1;1),1 (1;1),1 (1;1),0.66 (0.61;0.72),NA,0.13 (0.07;0.24),0.36 (0.18;0.66),0.76 (0.37;1.39)
2004,0.55 (0.1;1.87),0.34 (0.06;1.12),0.45 (0.12;1.24),0.61 (0.41;0.87),0.5 (0.31;0.7),0.47 (0.32;0.69),0.37 (0.3;0.45),0.75 (0.65;0.85),1.44 (0.78;2.46),0.87 (0.79;0.97),0.78 (0.5;1.19),0.74 (0.44;1.12),0.72 (0.42;1.23),0.68 (0.62;0.74),1 (1;1),0.13 (0.06;0.24),0.37 (0.17;0.69),0.78 (0.38;1.43)
2005,0.53 (0.1;1.81),0.35 (0.07;1.15),0.5 (0.14;1.34),0.65 (0.43;0.92),0.5 (0.32;0.7),0.46 (0.3;0.67),0.36 (0.28;0.43),0.75 (0.65;0.85),1.38 (0.74;2.35),0.89 (0.8;0.98),0.61 (0.34;1.02),0.7 (0.36;1.15),0.47 (0.21;0.92),0.69 (0.63;0.76),0.98 (0.78;1.22),0.13 (0.06;0.24),0.37 (0.16;0.7),0.66 (0.32;1.21)
2006,0.53 (0.1;1.81),0.35 (0.07;1.16),0.48 (0.12;1.33),0.67 (0.44;0.97),0.5 (0.32;0.7),0.43 (0.28;0.65),0.34 (0.27;0.43),0.74 (0.65;0.84),1.09 (0.59;1.86),0.9 (0.81;1),0.46 (0.23;0.8),0.59 (0.28;1.05),0.31 (0.11;0.71),0.7 (0.64;0.76),0.95 (0.7;1.25),0.13 (0.06;0.25),0.39 (0.16;0.75),0.56 (0.26;1.03)
2007,0.53 (0.1;1.81),0.34 (0.06;1.12),0.51 (0.14;1.41),0.69 (0.44;1),0.51 (0.33;0.7),0.4 (0.25;0.61),0.34 (0.26;0.42),0.73 (0.64;0.83),0.87 (0.46;1.5),0.91 (0.82;1.01),0.33 (0.15;0.59),0.63 (0.33;1.13),0.22 (0.07;0.56),0.7 (0.64;0.77),0.9 (0.62;1.2),0.14 (0.06;0.29),0.44 (0.19;0.84),0.44 (0.21;0.83)
2008,0.52 (0.09;1.77),0.34 (0.06;1.13),0.48 (0.12;1.36),0.7 (0.46;1.02),0.52 (0.34;0.73),0.42 (0.27;0.64),0.33 (0.25;0.41),0.73 (0.64;0.82),0.97 (0.52;1.65),0.92 (0.83;1.02),0.26 (0.12;0.48),0.72 (0.35;1.36),0.17 (0.05;0.47),0.71 (0.65;0.77),0.88 (0.6;1.21),0.15 (0.06;0.32),0.51 (0.22;0.97),0.4 (0.19;0.75)
2009,0.51 (0.09;1.76),0.33 (0.06;1.11),0.44 (0.1;1.33),0.66 (0.42;0.97),0.51 (0.33;0.71),0.41 (0.26;0.64),0.32 (0.24;0.4),0.72 (0.63;0.82),0.92 (0.5;1.57),0.92 (0.83;1.02),0.21 (0.09;0.4),0.75 (0.32;1.5),0.16 (0.05;0.42),0.71 (0.65;0.77),0.88 (0.59;1.25),0.2 (0.07;0.44),0.55 (0.25;1.07),0.4 (0.18;0.75)
2010,0.5 (0.09;1.72),0.33 (0.06;1.09),0.46 (0.11;1.37),0.6 (0.37;0.92),0.5 (0.33;0.7),0.38 (0.23;0.59),0.31 (0.24;0.4),0.72 (0.63;0.81),0.84 (0.45;1.45),0.91 (0.81;1.01),0.16 (0.07;0.29),0.49 (0.24;0.93),0.13 (0.04;0.36),0.71 (0.65;0.77),0.86 (0.57;1.26),0.22 (0.08;0.51),0.59 (0.26;1.16),0.4 (0.18;0.77)
2011,0.48 (0.09;1.63),0.32 (0.06;1.07),0.45 (0.1;1.36),0.63 (0.36;1.01),0.48 (0.32;0.67),0.37 (0.22;0.59),0.31 (0.23;0.39),0.71 (0.62;0.8),0.94 (0.51;1.61),0.89 (0.8;0.99),0.11 (0.04;0.22),0.35 (0.17;0.67),0.12 (0.04;0.32),0.7 (0.64;0.77),0.83 (0.54;1.22),0.23 (0.08;0.53),0.6 (0.26;1.16),0.41 (0.18;0.81)
2012,0.45 (0.08;1.52),0.33 (0.06;1.09),0.41 (0.08;1.31),0.63 (0.34;1.05),0.43 (0.28;0.62),0.33 (0.2;0.53),0.3 (0.22;0.38),0.69 (0.61;0.79),1.04 (0.56;1.77),0.88 (0.78;0.98),0.08 (0.03;0.17),0.29 (0.14;0.56),0.1 (0.03;0.28),0.7 (0.64;0.76),0.82 (0.53;1.25),0.24 (0.08;0.56),0.66 (0.29;1.29),0.41 (0.18;0.82)
2013,0.41 (0.07;1.4),0.33 (0.06;1.09),0.4 (0.07;1.33),NA,0.41 (0.25;0.59),0.31 (0.18;0.5),0.29 (0.21;0.38),0.68 (0.59;0.78),0.84 (0.46;1.42),0.86 (0.77;0.97),0.07 (0.03;0.14),0.26 (0.12;0.49),0.09 (0.03;0.26),0.7 (0.64;0.77),0.78 (0.48;1.19),0.25 (0.08;0.59),0.7 (0.3;1.37),0.43 (0.18;0.87)
2014,0.38 (0.07;1.3),0.35 (0.06;1.17),NA,NA,0.41 (0.25;0.6),0.29 (0.17;0.47),0.28 (0.21;0.37),0.67 (0.58;0.76),0.55 (0.3;0.95),0.86 (0.75;0.97),0.05 (0.02;0.11),0.2 (0.09;0.4),0.09 (0.03;0.25),0.71 (0.64;0.78),0.75 (0.45;1.19),0.27 (0.09;0.64),0.73 (0.31;1.45),0.49 (0.2;0.99)
2015,NA,NA,NA,NA,0.4 (0.24;0.6),0.27 (0.16;0.46),0.28 (0.2;0.37),0.66 (0.57;0.75),0.41 (0.2;0.76),0.85 (0.74;0.97),0.04 (0.02;0.09),0.18 (0.08;0.35),0.08 (0.02;0.23),0.71 (0.63;0.79),0.74 (0.42;1.22),0.29 (0.09;0.73),0.78 (0.33;1.56),0.65 (0.24;1.41)
2016,NA,NA,NA,NA,0.38 (0.23;0.57),0.25 (0.14;0.42),NA,0.65 (0.56;0.74),NA,NA,0.03 (0.01;0.08),0.16 (0.07;0.31),0.09 (0.02;0.24),0.71 (0.63;0.8),NA,0.31 (0.09;0.79),0.81 (0.33;1.64),0.96 (0.29;2.27)
2017,NA,NA,NA,NA,0.37 (0.21;0.59),NA,NA,0.63 (0.54;0.73),NA,NA,0.03 (0.01;0.07),0.14 (0.06;0.29),0.09 (0.02;0.25),NA,NA,0.33 (0.09;0.88),0.87 (0.35;1.85),1.29 (0.31;3.44)
2018,NA,NA,NA,NA,NA,NA,NA,0.62 (0.52;0.73),NA,NA,0.02 (0.01;0.06),0.14 (0.05;0.29),0.09 (0.02;0.27),NA,NA,NA,NA,NA
